               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.054903,            0.045554,                   0,             0.79605,             0.56579,             0.71199,             0.29648,            0.050426,            0.024753,                   0,          0.00068157,          0.00068157,            0.058782
                  84,            0.052951,            0.040995,                   0,             0.53315,              0.8415,             0.71076,             0.31027,            0.050468,            0.024703,                   0,          0.00066001,          0.00066001,             0.05826
                  85,            0.057419,            0.053618,                   0,             0.53353,             0.82895,             0.70922,             0.30966,            0.050087,            0.024655,                   0,          0.00063941,          0.00063941,            0.057739
                  86,            0.052679,            0.042795,                   0,             0.53353,             0.82895,             0.70922,             0.30966,            0.050087,            0.024646,                   0,          0.00061987,          0.00061987,             0.05722
                  87,            0.054147,            0.050968,                   0,             0.59212,             0.84048,             0.73372,             0.31775,            0.050037,            0.024665,                   0,          0.00060148,          0.00060148,            0.056701
                  88,            0.058464,            0.049611,                   0,             0.60103,             0.81579,             0.71715,             0.33727,            0.049802,            0.024586,                   0,          0.00058431,          0.00058431,            0.056184
                  89,            0.055644,            0.054799,                   0,             0.60103,             0.81579,             0.71715,             0.33727,            0.049802,            0.024575,                   0,          0.00056845,          0.00056845,            0.055668
                  90,            0.053374,            0.042146,                   0,             0.67948,             0.69735,             0.73385,             0.33697,            0.049886,            0.024536,                   0,          0.00055399,          0.00055399,            0.055154
                  91,            0.051486,            0.049263,                   0,             0.77809,             0.56579,             0.71469,             0.33712,             0.04986,            0.024548,                   0,          0.00054101,          0.00054101,            0.054641
                  92,            0.051336,            0.044911,                   0,             0.77809,             0.56579,             0.71469,             0.33712,             0.04986,             0.02454,                   0,           0.0005296,           0.0005296,             0.05413
                  93,            0.053788,            0.044231,                   0,             0.66244,             0.69718,             0.74429,             0.33965,            0.049441,            0.024476,                   0,          0.00051983,          0.00051983,             0.05362
                  94,            0.054171,            0.040666,                   0,             0.66244,             0.69718,             0.74429,             0.33965,            0.049441,            0.024475,                   0,          0.00051178,          0.00051178,            0.053112
                  95,             0.05328,              0.0472,                   0,             0.59102,             0.84211,             0.74669,              0.3468,            0.049379,            0.024454,                   0,          0.00050554,          0.00050554,            0.052606
                  96,            0.054242,            0.047848,                   0,             0.62697,             0.84038,             0.74769,             0.34259,            0.049279,            0.024382,                   0,          0.00050117,          0.00050117,            0.052101
                  97,            0.055255,            0.052199,                   0,             0.62697,             0.84038,             0.74769,             0.34259,            0.049279,            0.024372,                   0,          0.00049877,          0.00049877,            0.051599
                  98,            0.050262,            0.047616,                   0,             0.60942,             0.84173,             0.76845,             0.32925,            0.048871,            0.024265,                   0,          0.00049839,          0.00049839,            0.051098
                  99,            0.054842,            0.050064,                   0,             0.63434,             0.80263,             0.78104,             0.34457,            0.048837,            0.024217,                   0,          0.00050011,          0.00050011,              0.0506
